customer_id,user_pseudo_id,session_id,session_number,session_date,first_visit_date,user_type,country,city,gender,age_group,customer_segment,source,medium,campaign,channel_group,landing_page,device_category,page_view,view_item,add_to_cart,begin_checkout,purchase,refund,product_id,product_name,product_category,brand,price,discount_percent,quantity,item_revenue,coupon_discount,refund_amount,net_revenue,order_id,transaction_id,payment_method,delivery_type,coupon_code,returned_product,return_reason,lifetime_orders,lifetime_revenue,month,week,quarter,year,day_of_week,is_weekend
CUST100000,27ba2e5a-3515-4e56-9e16-f0f68baf122a,SES00000001,1,2025-01-08,2025-01-08,New,India,Ahmedabad,Female,35-44,Churn Risk,youtube,cpc,Google Shopping,Paid Search,/men,mobile,1,1,0,0,0,0,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,False,,0,0.0,1,2,1,2025,Wednesday,False
CUST100000,27ba2e5a-3515-4e56-9e16-f0f68baf122a,SES00000002,2,2025-01-09,2025-01-08,Returning,India,Ahmedabad,Female,35-44,Churn Risk,youtube,cpc,Google Shopping,Paid Search,/men,mobile,1,1,0,0,0,0,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,False,,0,0.0,1,2,1,2025,Thursday,False
CUST100001,5ad20f7d-d802-4878-a038-784acf3b1977,SES00000003,1,2025-02-01,2025-02-01,New,India,Kolkata,Female,35-44,Prospect,google,organic,Always On Search,Organic Search,/women,mobile,1,1,1,1,0,0,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,False,,0,0.0,2,5,1,2025,Saturday,True
CUST100002,4bc69ae5-c30e-4df4-b220-51cea50ad107,SES00000004,1,2025-02-24,2025-02-24,New,India,Hyderabad,Female,18-24,Churn Risk,google,organic,Always On Search,Organic Search,/men,mobile,1,1,0,0,0,0,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,False,,0,0.0,2,9,1,2025,Monday,False
CUST100003,01e4f7a0-f8be-42a6-ba1f-012f92168676,SES00000005,1,2025-02-26,2025-02-26,New,India,Jaipur,Female,25-34,New,google,organic,Always On Search,Organic Search,/men,mobile,1,1,0,0,0,0,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,False,,0,0.0,2,9,1,2025,Wednesday,False
CUST100003,01e4f7a0-f8be-42a6-ba1f-012f92168676,SES00000006,2,2025-02-27,2025-02-26,Returning,India,Jaipur,Female,25-34,New,google,organic,Always On Search,Organic Search,/men,mobile,1,0,0,0,0,0,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,False,,0,0.0,2,9,1,2025,Thursday,False
CUST100003,01e4f7a0-f8be-42a6-ba1f-012f92168676,SES00000007,3,2025-03-01,2025-02-26,Returning,India,Jaipur,Female,25-34,New,google,organic,Always On Search,Organic Search,/men,mobile,1,1,1,1,1,1,100027.0,T-Shirt,Men,Nike,3612.0,20.0,1,3250.8,361.2,3250.8,0.0,ORD356787,TXN-4d4a92dd-f7e,Credit Card,Standard,SUMMER15,True,Changed Mind,1,0.0,3,9,1,2025,Saturday,True
CUST100003,01e4f7a0-f8be-42a6-ba1f-012f92168676,SES00000008,4,2025-05-22,2025-02-26,Returning,India,Jaipur,Female,25-34,New,google,organic,Always On Search,Organic Search,/men,mobile,1,1,1,0,0,0,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,False,,1,0.0,5,21,2,2025,Thursday,False
CUST100004,675129d6-7742-4bb0-badf-db7b235b8d91,SES00000009,1,2025-01-07,2025-01-07,New,India,Jaipur,Male,25-34,Prospect,facebook,paid_social,Meta Retargeting,Paid Social,/,mobile,1,1,0,0,0,0,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,False,,0,0.0,1,2,1,2025,Tuesday,False
CUST100005,535d6998-28da-47f2-af0f-d9d79ce73217,SES00000010,1,2025-01-12,2025-01-12,New,India,Hyderabad,Female,35-44,Prospect,affiliate,affiliate,Affiliate,Affiliate,/women,mobile,1,1,0,0,0,0,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,False,,0,0.0,1,2,1,2025,Sunday,True
